Mumbai Indians - 1st innings,,,,,,,,,,,,
"SA Abbott - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
YK Pathan,1,1,0,0,0,0,0,0,,1,2,50
Shakib Al Hasan,2,0,0,0,0,0,0,0,,0,2,0
"HV Patel - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,0,1,1,0,0,0,0,0,,3,2,150
SP Narine,1,0,0,0,0,0,1,0,,6,2,300
"AN Ahmed - 2nd innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
M Morkel,0,1,0,0,1,0,0,0,,5,2,250
Delhi Daredevils - 1st innings,,,,,,,,,,,,
"MA Agarwal - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,3,4,0,0,1,0,1,0,,14,9,155.55
CH Morris,2,1,0,0,1,0,0,0,,5,4,125
DS Kulkarni,1,0,1,0,4,0,0,0,,18,6,300
PV Tambe,2,0,0,0,0,0,0,0,caught,0,2,0
"SS Iyer - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,0,2,0,0,1,0,0,0,,6,3,200
CH Morris,5,1,0,0,0,0,1,0,caught,7,7,100
PV Tambe,4,4,0,0,1,0,1,0,,14,10,140
DJ Hooda,4,2,0,0,0,0,0,0,,2,6,33.33
JP Faulkner,1,1,0,0,1,0,1,0,,11,4,275
"JP Duminy - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,1,4,0,0,0,0,0,0,,4,5,80
CH Morris,1,3,1,0,0,0,2,0,,17,7,242.85
PV Tambe,2,4,0,0,0,0,0,0,,4,6,66.66
DJ Hooda,3,7,1,0,0,0,0,0,,9,11,81.81
JP Faulkner,5,2,1,0,0,0,1,0,,10,9,111.11
"Yuvraj Singh - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,0,2,1,0,0,0,0,0,,4,3,133.33
CH Morris,1,1,0,0,0,0,0,0,caught,1,2,50
DJ Hooda,2,4,1,0,0,0,0,0,,6,7,85.71
JP Faulkner,0,2,1,0,0,0,2,0,,16,5,320
"AD Mathews - 1st innings
v Bowler",0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR
TG Southee,0,3,0,0,1,0,0,0,,7,4,175
CH Morris,1,3,0,0,0,0,0,0,,3,4,75
JP Faulkner,1,1,1,0,2,0,1,0,,17,6,283.33
Rajasthan Royals - 2nd innings,,,,,,,,,,,,
